,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,status,stamped team
40,2-s2.0-85129636032,10.1109/ICIN53892.2022.9758134,,,Petri Net-Based Model for 5G and beyond Networks Resilience Evaluation,cp,Conference Paper,Li R.,60106017;127279148,Université Paris-Saclay;Orange Innovation,Gif-sur-Yvette;Chatillon,France;France,5,"Li, Rui;Decocq, Bertr;Barros, Anne;Fang, Yiping;Zeng, Zhiguo",57670573100;6507823773;7102745133;55659850100;55348807500,127279148-60106017;127279148;60106017;60106017;60106017,2022-01-01,2022,"Proceedings of the 25th Conference on Innovation in Clouds, Internet and Networks, ICIN 2022",,21101088247,,Conference Proceeding,,,,131-135,"The promise of telecommunication networks to deliver more demanding and complex applications requires them to become more flexible and efficient. To achieve better performance, telecommunication networks adopt technologies such as NFV (Network Function Virtualization). However, this evolution also brings more potential risks to the telecommunication network. Reliability and resilience are becoming critical for service delivery in the networks. To answer to service requirements of high level availability and reliability, a model with a global view of infrastructure, virtual network elements, and network layer structure is required. Toward this end, this paper presents a Petri Net method to model 5G and beyond telecommunication networks. We introduce an extended Petri Net to model physical infrastructure, virtual infrastructure, network services, their behaviors, and dependencies. We present a simulation result on network availability estimation. This result shows the potential of the Petri Net-based model to be applied to a complex telecommunication system resilience assessment.",5G networks | availability | B5G | modeling | Petri Net | resilience | simulation,5,0,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
41,2-s2.0-85116573986,10.1016/j.ress.2021.108091,S0951832021005871,,Modeling and vulnerability analysis of interdependent railway and power networks: Application to British test systems,ar,Article,Bellè A.,60106017;60032456;60029873,Université Paris-Saclay;SNCF;Electricité de France,Gif-sur-Yvette;Paris;Paris,France;France;France,5,"Bellè, Andrea;Zeng, Zhiguo;Duval, Carole;Sango, Marc;Barros, Anne",57286978200;55348807500;25645587200;55353671400;7102745133,60106017;60106017;60029873;60032456;60106017,2022-01-01,January 2022,Reliability Engineering and System Safety,09518320,13853,,Journal,217,,108091,,"Railway and power networks are among the most important critical infrastructures and their vulnerability under different types of disrupting events has been analyzed extensively. However, the increasing degree of interconnection between these two critical infrastructures makes it necessary to consider the multiple interdependencies when conducting vulnerability assessments. We propose an approach for the modeling and vulnerability analysis of interdependent railway and power networks which accounts for a realistic coupling through the traction power network, which acts as an interface. Moreover, we consider cascading failures within and between networks. With the proposed model, we show that failures in the power network have a considerable negative impact on the railway network. In addition, our analysis shows that the dependency of the railway network on the power network can considerably impact vulnerability and cascading failures dynamics of the power network.",Cascading failures | Critical infrastructures | Interdependent networks | Power network | Railway network | Vulnerability,31,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
42,2-s2.0-85114129750,10.1016/j.ress.2021.107956,S0951832021004671,,Introduction of degradation modeling in qualification of the novel subsea technology,ar,Article,Srivastav H.,60122384;60013141,CentraleSupélec - Paris-Saclay;Norges Teknisk-Naturvitenskapelige Universitet,Gif-sur-Yvette;Trondheim,France;Norway,3,"Srivastav, Himanshu;Lundteigen, Mary Ann;Barros, Anne",57204949765;16480678700;7102745133,60013141;60013141;60122384,2021-12-01,December 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,216,,107956,,"All-electric systems are the novel subsea technology that is an upgrade of widely deployed electro-hydraulic control systems. They promised more reliable equipment and a safer environment. An all-electric production system performs several functions related to hydrocarbon production control. It also performs safety functions by isolating the reservoir from the environment. Safety functions are performed by activation of safety valves. These safety valves include electric springs in their design instead of mechanical springs. Failure modes and effects analysis of these valves show that interruptions in the power supply appear as random demands to the safety valves, and experiencing such demands may deteriorate their performance. However, the current reliability assessment of safety valves does not consider any degradation phenomena. This paper's main objective is to investigate the degradation modes caused by demands and their influence on the all-electric actuation system's performance under different maintenance strategies. A degradation modeling framework based on the multiphase Markov process is proposed. The impact of demand is modeled by changing the initial condition or by increasing the transition rates between two degraded states. The amplitude of the increment depends on the condition at the time of the demand. Analytical formulae are developed for the time-dependent reliability assessment.",All-electric subsea production system | Degradation due to demands | Harmful testing | Multiphase Markov process | Safety performance assessment | Technology qualification,4,1,publisherfree2read,Bronze,,undefined,Norges Forskningsråd,Already existed in HAL!,Already existed in the stamped team!
43,2-s2.0-85108689432,10.1016/j.ress.2021.107868,S0951832021003872,,A Hierarchical Resilience Enhancement Framework for Interdependent Critical Infrastructures,ar,Article,Liu X.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,3,"Liu, Xing;Fang, Yi Ping;Zio, Enrico",56340755600;55659850100;7005289082,60106017;60106017;60030506-60023256,2021-11-01,November 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,215,,107868,,"Resilience is becoming a key concept for risk assessment and safety management of interdependent critical infrastructures (ICIs). This work proposes a resilience enhancement framework for ICIs. With reference to the accidental event, ex-ante and ex-post solutions for enhancing system resilience are analysed and included into a hierarchical model of resilience enhancement strategies (RES). To provide specific resilience enhancement solutions for ICIs, we integrate the hierarchical model with a model predictive control-based dynamic model of ICI system operation. The relationships between the solutions implemented and their impacts on the system parameters are discussed. A multi-objective optimization (MOO) problem is defined, with the objectives of simultaneously minimizing RES cost and maximizing ICIs resilience. The fast non-dominated sorting genetic algorithm NSGA-II is used to solve the MOO problem. For exemplification, a case study is considered, involving interdependent natural gas network and electric power grid. The results show that the resilience enhancement framework is effective in finding optimal RESs for given ICIs.",Control-based dynamic model | Critical infrastructure | Multi-objective optimization | Resilience,34,1,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
44,2-s2.0-85116980306,10.1115/1.4051196,,,Resilience Assessment and Importance Measure for Interdependent Critical Infrastructures,ar,Article,Liu X.,60106017;60030506;60023256;127625778,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano;Research Center for Integrated Disaster Risk Management (CIGIDEN),Gif-sur-Yvette;Paris;Milan;Santiago,France;France;Italy;Chile,4,"Liu, Xing;Fang, Yi Ping;Ferrario, Elisa;Zio, Enrico",56340755600;55659850100;54964914600;7005289082,60106017;60106017;127625778;60030506-60023256,2021-09-01,September 2021,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering",23329017,21100858472,23329025,Journal,7,3,031006-1,,"Based upon a novel control-based dynamic modeling framework, this paper proposes two new indicators, i.e., resilience by mitigation and resilience by recovery, for the resilience analysis of interdependent critical infrastructures (ICIs) under disruptions. The former is built from the protection activities before and during the mitigation phase of a disruptive event, and the latter is the result of the restoration efforts, which take place at the recovery phase. The total resilience of ICIs combines both of these two aspects by taking into account the preferences of the decision makers. We demonstrate the applicability of the proposed modeling framework and metrics in a case study involving ICIs made of a power grid and a gas distribution system. Owing to the new resilience indicators, the priorities of subsystems and links within ICIs at different phases can be ranked; therefore, different resilience strategies at different phases of disruptive events are compared. The results show that proposed metrics can be used by stakeholders of ICIs on improving the effectiveness of system protection measurements.",Critical infrastructure | Dynamic modeling | Global sensitivity analysis | Importance measure | Model predictive control | Resilience metrics | System resilience,9,0,repositoryvor,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
45,2-s2.0-85102481545,10.1016/j.ress.2021.107540,S0951832021000983,,Piecewise deterministic Markov process for condition-based maintenance models — Application to critical infrastructures with discrete-state deterioration,ar,Article,Arismendi R.,60106066;60023736;60013141,Laboratoire Génie Industriel;Université de Technologie de Troyes;Norges Teknisk-Naturvitenskapelige Universitet,Chatenay-Malabry;Troyes;Trondheim,France;France;Norway,3,"Arismendi, Renny;Barros, Anne;Grall, Antoine",57218438921;7102745133;6701840942,60013141;60106066;60023736,2021-08-01,August 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,212,,107540,,"In recent decades, the technology and techniques for condition monitoring have experienced a rapid development. However, there is still a need for reducing unnecessary inspections and/or preventive maintenance actions and their associated cost, through optimal design of condition-based maintenance (CBM) strategies. Accordingly, mathematical modelling and optimization of CBM has become of interest for industry managers and researchers. This work explores on the application of a piecewise deterministic Markov process (PDMP) to encompass different modelling assumptions as non-negligible maintenance delays and inspection-based condition monitoring. These assumptions are relevant for many critical infrastructures in civil engineering or in oil & gas industry whose deterioration states are classified at a very high level of abstraction among a finite and small set of possible states. A formalism to model this type of problems is proposed in which the deterministic motion of the PDMP is reduced to a trivial differential equation to track the time elapsed between events. A numerical scheme for quantification, as an approximation of the Chapman–Kolmogorov equation, is presented. Later, an illustration case dealing with CBM of road bridges by the NPRA (Norwegian Public Roads Administration) is presented, guiding through the modelling and quantification approach.",Condition-based maintenance | Monte Carlo simulation | Numerical analysis | Piecewise deterministic Markov process | Road bridges maintenance | Stochastic modelling,18,0,,,NTNU,undefined,Norges Teknisk-Naturvitenskapelige Universitet,Already existed in HAL!,Already existed in the stamped team!
46,2-s2.0-85095418876,10.1177/1748006X20968954,,,An integrated risk index accounting for epistemic uncertainty in probability risk assessment,ar,Article,Zeng Z.,60106017;60030506;60023256;60014497,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano;Universitetet i Stavanger,Gif-sur-Yvette;Paris;Milan;Stavanger,France;France;Italy;Norway,4,"Zeng, Zhiguo;Bani-Mustafa, Tasneem;Flage, Roger;Zio, Enrico",55348807500;57201984857;25646074700;7005289082,60106017;60106017;60014497;60030506-60023256,2021-08-01,August 2021,"Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability",1748006X,19300157022,17480078,Journal,235,4,,711-728,"In this paper, we present an integrated framework for quantifying epistemic uncertainty in probabilistic risk assessment. Three types of epistemic uncertainty, that is, completeness, structural and parametric uncertainties, are considered. A maturity model is developed to evaluate the management of these epistemic uncertainties in the model building process. The impact of epistemic uncertainty on the result of the risk assessment is, then, estimated based on the developed maturity model. Then, an integrated risk index is defined to reflect the epistemic uncertainty in the risk assessment results. An indifference method is developed to evaluate the index based on the maturity of epistemic uncertainty management. A case study concerning a nuclear power plant is shown to demonstrate the applicability of the overall modelling framework.",aleatory uncertainty | epistemic uncertainty | indifference method | integrated risk index | maturity model | nuclear power plant | Probabilistic risk assessment (PRA),0,0,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
47,2-s2.0-85106872144,10.3390/en14102888,,,Resilience quantification of smart distribution networks—a bird’s eye view perspective,re,Review,Belaid Y.N.,60106017;60029873,Université Paris-Saclay;Electricité de France,Gif-sur-Yvette;Paris,France;France,6,"Belaid, Youba Nait;Coudray, Patrick;Sanchez-Torres, José;Fang, Yi Ping;Zeng, Zhiguo;Barros, Anne",57224087723;57224084974;57224077185;55659850100;55348807500;7102745133,60029873-60106017;60029873;60029873;60106017;60106017;60106017,2021-05-02,2 May 2021,Energies,,62932,19961073,Journal,14,10,2888,,"The introduction of pervasive telecommunication devices, in the scope of smart grids (SGs), has accentuated interest in the distribution network, which integrates a huge portion of new grid applications. High impact low probability (HILP) events, such as natural hazards, manmade errors, and cyber-attacks, as well as the inherent fragility of the distribution grid have propelled the development of effective resilience tools and methods for the power distribution network (PDN) to avoid catastrophic infrastructural and economical losses. Multiple resilience evaluation frameworks are proposed in the literature in order to assist distribution system operators (DSOs) in managing their networks when faced with exogenous threats. We conduct detailed analysis of existing quantitative resilience studies in both electric and telecommunication domains of a PDN, focusing on event type, metrics, temporal phases, uncertainty, and critical load. Our work adopts the standpoint of a DSO, whose target is to identify feasible resilience assessment frameworks, which apply to pre-defined requirements in terms of resilience evaluation objectives (planning, reactive response, or simple assessment), time of evaluation, and available enhancement strategies. Finally, results and observations on selected works are presented, followed by discussion of identified challenges and opportunities.",Information and communication networks | Power networks | Quantification | Resilience | Smart grids,5,1,repositoryvor,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
48,2-s2.0-85100170341,10.1016/j.ress.2021.107443,S0951832021000041,,A Markov reward process-based framework for resilience analysis of multistate energy systems under the threat of extreme events,ar,Article,Zeng Z.,60106017;60023813;60013789,Université Paris-Saclay;Shanghai University;Beihang University,Gif-sur-Yvette;Shanghai;Beijing,France;China;China,4,"Zeng, Zhiguo;Fang, Yi Ping;Zhai, Qingqing;Du, Shijia",55348807500;55659850100;55571993900;55353331800,60106017;60106017;60023813;60013789,2021-05-01,May 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,209,,107443,,"Energy systems are increasingly exposed to the threats of extreme events like floods, earthquakes and hurricanes. In practice, the behaviors of the systems affected by these extreme events are often modeled by multistate models to facilitate the analysis. In this paper, we develop a generic framework for resilience modeling and analysis of multistate energy systems. A multistate resilience model is developed based on a Markov reward process model, where the degradation and recovery of system performance are characterized by a continuous time discrete state Markov chain and the losses caused by the extreme event is modeled by the reward rates associated with the sojourns in the degradation states and the transitions among the states. Four numerical metrics are defined to describe different aspects of system resilience, i.e. the resistant, absorption, recovery and overall resilience. A simulation-based algorithm is proposed for resilience analysis of multistate energy systems. The developed methods are applied for resilience modeling and analysis of a Nuclear Power Plant (NPP) under the threat of earthquakes. The Markov reward process model is developed following a probabilistic seismic hazard analysis, a fragility analysis and an event tree modeling of accident evolutions. Both a time-static and time-dependent resilience analysis are conducted and the results show that the developed model is able to comprehensively describe the resilience of multistate energy systems under the threats of extreme events.",Accumulated reward | Energy system | Extreme events | Markov reward model | Multistate system | Resilience,41,0,repositoryam,Green,NSFC,71601010,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
49,2-s2.0-85100051224,10.1016/j.ress.2020.107393,S0951832020308802,,Study of testing and maintenance strategies for redundant final elements in SIS with imperfect detection of degraded state,ar,Article,Zhang A.,60106017;60013141,Université Paris-Saclay;Norges Teknisk-Naturvitenskapelige Universitet,Gif-sur-Yvette;Trondheim,France;Norway,4,"Zhang, Aibo;Srivastav, Himanshu;Barros, Anne;Liu, Yiliu",57204952478;57204949765;7102745133;57225003303,60013141;60013141;60106017;60013141,2021-05-01,May 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,209,,107393,,"Safety-instrumented systems (SISs) have been widely installed to lower risks of equipment/ process by performing the designed safety functions in cases of demands. Final elements remain dormant mostly in a low demand mode but become vulnerable due to degradation along with time. Tests and maintenances are key activities to prevent the SIS from any failures, including those thank to degradation, to activate upon demands. This paper models the degradation of SIS final elements by considering an intermediate degraded state between the working- and failed states. Sometimes, the actual system states are not distinguished perfectly during proof tests. Such imperfectness in state revealing, consequently, weakens the real performance of follow-up maintenances. The effects of imperfect degradation state revealing are quantified, together with three testing and maintenance strategies for 1-out-of-2 configured SISs. Time-dependent PFD of the system and cumulative life-cycle cost are then estimated in a finite service time. Numerical examples under proposed strategies are presented to provide clues in selection of optimal testing and maintenance strategies for 1oo2 final element in SISs.",Degrading final element | Imperfect state revealing | performance analysis | Safety-instrumented system | Testing and maintenance strategy,15,1,publisherhybridgold,Hybrid Gold,,309628,Norges Forskningsråd,Already existed in HAL!,Already existed in the stamped team!
50,2-s2.0-85088238545,10.1109/TII.2020.2998102,,,Remaining Useful Life Prediction by Fusing Expert Knowledge and Condition Monitoring Information,ar,Article,Xiahou T.,60106017;60005465,Université Paris-Saclay;University of Electronic Science and Technology of China,Gif-sur-Yvette;Chengdu,France;China,3,"Xiahou, Tangfan;Zeng, Zhiguo;Liu, Yu",57202959803;55348807500;57116628700,60005465;60106017;60005465,2021-04-01,April 2021,IEEE Transactions on Industrial Informatics,15513203,144912,19410050,Journal,17,4,9102370,2653-2663,"In this article, we develop a mixture of Gaussians-evidential hidden Markov model (MoG-EHMM) to fuse expert knowledge and condition monitoring information for remaining useful life (RUL) prediction under the belief function theory framework. The evidential expectation-maximization algorithm is implemented in the offline phase to train the MoG-EHMM based on historical data. In the online phase, the trained model is used to recursively update the health state and reliability of a particular individual system. The predicted RUL is, then, represented in the form of its probability mass function. A numerical metric is defined based on the Bhattacharyya distance to measure the RUL prediction accuracy of the developed methods. We applied the developed methods on a simulation experiment and a real-world dataset from a bearing degradation test. The results demonstrate that despite imprecisions in expert knowledge, the performance of RUL prediction can be substantially improved by fusing expert knowledge with condition monitoring information.",Belief function theory | expert knowledge | mixture of Gaussians-evidential hidden Markov model (MoG-EHMM) | remaining useful life (RUL),42,0,repositoryam,Green,NSFC,71771039,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
51,2-s2.0-85064406551,10.1109/TEM.2019.2902916,,,Resilient Critical Infrastructure Planning under Disruptions Considering Recovery Scheduling,ar,Article,Fang Y.P.,60030506;60029873;60029306;60013983,Mines Paris - PSL;Electricité de France;Wuhan University;City University of Hong Kong,Paris;Paris;Wuhan;Hong Kong,France;France;China;Hong Kong,4,"Fang, Yi Ping;Fang, Chao;Zio, Enrico;Xie, Min",55659850100;55085184900;7005289082;9634359100,60029873;60029306;60030506;60013983,2021-04-01,April 2021,IEEE Transactions on Engineering Management,00189391,17359,15580040,Journal,68,2,8681708,452-466,"Reliable and safe critical infrastructures are crucial for the sustainability of modern societies. To cope with increasing disruptive events such as man-made and natural disasters attacking infrastructures, resilience should be considered as an integrated perspective into the system planning process. This paper presents a p-robust optimization model for infrastructure network planning against spatially localized disruptions. The optimization aims at minimizing the investment costs for system hardening and expansion and the total system costs under nominal operating conditions, while incorporating resilience requirements by the p-robustness constraints. Importantly, instead of only mitigating system vulnerability, the proposed model integrates the arranging of the repair sequence of damaged components under limited repair resources into the preevent system planning. The complexity of the proposed model is analyzed, and a hybrid algorithm that combines scenario-based decomposition and variable neighborhood search is developed for its efficient solution. The effectiveness of the approach is illustrated through an application to a real power transmission system. Quantitative analysis can assist managers in decision making regarding investing in different system protection actions and making a tradeoff between desired resilience and budget constraints.",Critical infrastructures (CIs) | disruption risk | optimization | system planning | system resilience,20,0,repositoryvor,Green,NSFC,71301123,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
52,2-s2.0-85098193647,10.1016/j.apenergy.2020.116346,S0306261920317281,,Ensemble empirical mode decomposition and long short-term memory neural network for multi-step predictions of time series signals in nuclear power plants,ar,Article,Nguyen H.P.,60106017;60105794;60023256;60001873,Université Paris-Saclay;Centre de Recherche sur les Risques et les Crises;Politecnico di Milano;Kyung Hee University,Gif-sur-Yvette;Sophia Antipolis;Milan;Seoul,France;France;Italy;South Korea,3,"Nguyen, Hoang Phuong;Baraldi, Piero;Zio, Enrico",57201268447;7101681322;7005289082,60106017;60023256;60023256-60105794-60001873,2021-02-01,1 February 2021,Applied Energy,03062619,28801,,Journal,283,,116346,,"We address the problem of multi-step ahead time series signal prediction in the energy industry, with the aim of improving maintenance planning and minimizing unexpected shutdowns. For this, we develop a novel method based on the combined use of Ensemble Empirical Mode Decomposition and Long Short-Term Memory neural network. Ensemble Empirical Mode Decomposition decomposes the time series into a set of Intrinsic Mode Function components which facilitate the prediction task by effectively describing the system dynamics. Then, Long Short-Term Memory neural network models perform the multi-step ahead prediction of the individual Ensemble Empirical Mode Decomposition components and the obtained predictions are aggregated to reconstruct the time series. A Tree-structured Parzen Estimator algorithm is employed for the optimization of the hyperparameters of the Long Short-Term Memory neural network. The proposed method is validated by considering various long-term prediction horizons of real time series data acquired from Reactor Coolant Pumps of Nuclear Power Plants. The results show the superior performance of the proposed method with respect to alternative state of the art methods.",Ensemble empirical mode decomposition | Long short-term memory recurrent neural network | Multi-step ahead prediction | Predictive maintenance | Prognostics | Reactor coolant pump,59,0,repositoryvor,Green,INAIL,BRIC/2018,Istituto Nazionale per l'Assicurazione Contro Gli Infortuni sul Lavoro,Already existed in HAL!,Already existed in the stamped team!
53,2-s2.0-85094325012,10.1016/j.ress.2020.107268,S0951832020307663,,Screening of optimal structure among large-scale multi-state weighted k-out-of-n systems considering reliability evaluation,ar,Article,Hu Y.,60117834;60106017;60010851,"College of Electrical Engineering, Zhejiang University;Université Paris-Saclay;Hohai University",Hangzhou;Gif-sur-Yvette;Nanjing,China;France;China,5,"Hu, Yishuang;Lin, Yu;Ding, Yi;Chen, Xingying;Zeng, Zhiguo",57201349413;57207942029;35241887200;23476842600;55348807500,60117834;60117834;60117834;60010851;60106017,2021-02-01,February 2021,Reliability Engineering and System Safety,09518320,13853,,Journal,206,,107268,,"Keen interest in the development of multi-state weighted k-out-of-n systems (MSWKNS) has been currently observed. In real-life cases, considering that multiple different MSWKNS structures are provided beforehand, system designers need to select an optimal one among numbers of different structure designs. Thus, screening of the optimal MSWKNS structure is meaningful and critical. Moreover, the system reliability becomes an increasingly important factor that should be assessed in structure screening. However, when facing a large-scale MSWKNS whose number of states is enormous, exact reliability evaluation can be rather complicated. Meanwhile, due to the large number of system structure designs, the computational burden of screening can be very huge. To effectively select the optimal structure among enormous MSWKNSs under reliability constraint, an optimal structure screening method named as ordinal structure screening (OSS) is proposed. Ordinal optimization (OO) algorithm is adopted with a novel utilization of continuization discretization approximation (CDA) method. To shorten the reliability evaluation time, CDA is employed to approximate reliabilities. Based on the approximate reliabilities, OO is applied to reduce the number of system structures to be evaluated, which accelerates the screening process. Illustrative results show that the proposed method appeals in improving computational efficiency with satisfactory accuracy performance.",continuization | Discretization approximation | Multi-state weighted k-out-of-n system | Ordinal Optimization | Structure screening,5,0,repositoryam,Green,NSFC,51537010,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
54,2-s2.0-85092228153,10.1016/j.apm.2020.08.066,S0307904X20305114,,Resilience analysis of multi-state systems with time-dependent behaviors,ar,Article,Zeng Z.,60117834;60106017;60013789,"College of Electrical Engineering, Zhejiang University;Université Paris-Saclay;Beihang University",Hangzhou;Gif-sur-Yvette;Beijing,China;France;China,3,"Zeng, Zhiguo;Du, Shijia;Ding, Yi",55348807500;55353331800;35241887200,60106017;60013789;60117834,2021-02-01,February 2021,Applied Mathematical Modelling,0307904X,28065,,Journal,90,,,889-911,"Most of existing resilience models assume that system performances are continuous. In this paper, we consider resilience modeling and analysis for multi-state systems, whose performances are characterized by discrete, rather than continuous variables. A non-homogeneous Semi-Markov reward process model is developed for resilience analysis of multi-state systems. In the developed model, system performance changes, caused by either disruptive events or system recoveries, are modeled as state transitions, and rewards are used to model financial losses incurred during and after the disruptions. Four resilience metrics are defined to quantify different aspects of resilience. As the developed model is non-homogeneous, it can capture time-dependent system behaviors and their impact on system resilience. An efficient resilience analysis algorithm is also designed based on linear interpolation and implemented using vectorization. The computational benefits of the developed algorithm are demonstrated through two numerical experiments. We apply the developed method on two practical case studies, an oil tank farm and a re-configurable computing system. The results show that the developed methods can quantify resilience of multi-state systems accurately and efficiently.",Accumulated reward | Extreme events | Multi-state system | Non-homogeneous semi-Markov process | Resilience,10,0,repositoryam,Green,NSFC,71601010,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
55,2-s2.0-85135497898,10.3850/978-981-18-2016-8_434-cd,,,Big Data Analytics for Reputational Reliability Assessment Using Customer Review Data,cp,Conference Paper,Meunier-Pion J.,60106017;60013789,Université Paris-Saclay;Beihang University,Gif-sur-Yvette;Beijing,France;China,3,"Meunier-Pion, Jean;Zeng, Zhiguo;Liu, Jie",57832125800;55348807500;55588480600,60106017;60106017;60013789,2021-01-01,2021,"Proceedings of the 31st European Safety and Reliability Conference, ESREL 2021",,21101100101,,Conference Proceeding,,,,2336-2343,"Traditionally, reliability assessment is done based on lifetime testing data. Such assessment methods suffered from a lot of limitations. For example, it is in general difficult to collect enough life testing data to support an accurate reliability assessment. Further, the experimental conditions can hardly reproduce the way a consumer will use a product in practice. In the meantime, with the expansion of the Internet, a lot of customers give their feedbacks on the products by posting reviews on websites. This constitutes a huge, easily accessible, and more realistic database that can be used to assess reliability. In this work, we scraped reviews from a famous e-commerce website. Machine learning models are developed to extract failure-related information from these reviews. Two kinds of information are examined in this study: (1) whether a review reports a failure and, in such a case, (2) the severity of the failure. We used natural language processing tools to process text and we developed different classification models for information extraction. The developed methods were tested on customer review data from 11 different tablets of several brands. The results we obtained were around 85% accuracy when training and testing our models with our dataset. Hence, the machine learning-based approach we developed is demonstrated to be a promising first step to assess reliability thanks to web-based data. However, with a corpus containing only a few thousand reviews and more than 100,000 words, using text to train classification models remains a complicated task. Especially, the models developed in this paper strongly overfit despite the use of several methods designed to prevent overfitting.",Classification | Ensemble learning | Internet | Logistic regression | Natural language processing | Scraping,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
56,2-s2.0-85135437717,10.3850/978-981-18-2016-8_356-cd,,,Towards a realistic topological and functional modeling for vulnerability analysis of interdependent railway and power networks,cp,Conference Paper,Bellè A.,60106017;60032456,Université Paris-Saclay;SNCF,Gif-sur-Yvette;Paris,France;France,4,"Bellè, Andrea;Zeng, Zhiguo;Sango, Marc;Barros, Anne",57286978200;55348807500;55353671400;7102745133,60106017;60106017;60032456;60106017,2021-01-01,2021,"Proceedings of the 31st European Safety and Reliability Conference, ESREL 2021",,21101100101,,Conference Proceeding,,,,2063-2070,"Railway systems and power grids are recognized as two of the most important critical infrastructures. The majority of European railway networks are electrified, and power transmission networks represent usually the main power supplier. Railway and power networks share thus a unidirectional interdependency, as the railway network functionality depends on the power network. Due to this interdependency, failures in power networks have the potential of causing vast disruption in the dependent railway networks. Despite this, the issue of modeling interdependent railway and power networks has not been addressed sufficiently carefully in the existing literature. Furthermore, the treatment of cascading failures in power networks and their consequences in railway networks is limited and approximative. In this work, we propose a modeling framework which accounts for more realistic assumptions on the interconnections topology and the cascading failures dynamics. Firstly, we model the interconnections between the railway and external power network by introducing the traction power network, which acts as a bridge between the external power grid and the railway network. Secondly, we model cascading failures in the external and traction power networks with an approach based on the DC power flow model. Thirdly, we suggest a simple approach to estimate the negative consequences on the railway network due to load shedding in the traction power network. Vulnerability analysis is performed to estimate the negative consequences in the railway network due to different failure scenarios in the external power network. Sensitivity analysis on the initial assumptions is also performed.",Cascading failures | Critical infrastructures | Interdependent networks | Power network | Railway network | Vulnerability,1,0,,,EDF,undefined,Electricité de France,Already existed in HAL!,Already existed in the stamped team!
