affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"LR OASIS, ENIT, University of Tunis Elmanar",In HAL (Valid),"1061809, 1060969",National Engineering School of Tunis = Ecole Nationale d'Ingénieurs de Tunis [University of Tunis El Manar] [ENIT] | University of Tunis El Manar,,,2-s2.0-85143277954,Fatma Ben Khalifa,Tunis
"Centralesupelec, University Paris Saclay",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85143277954,Zied Jemai,Gif-sur-Yvette
"ESSCA, School of Management",In HAL (Valid),73960,Ecole Supérieure des Sciences Commerciales d'Angers [ESSCA],,,2-s2.0-85143277954,Chaaben Kouki,Angers
"LR-ACS, ENIT, University of Tunis Elmanar",In HAL (Valid),"207896, 153506, 300862","Université de Tunis El Manar [UTM] | Laboratoire d’Analyse, Conception et Commande des Systèmes [Tunis] [LR-ACS-ENIT] | Ecole Nationale d'Ingénieurs de Tunis [ENIT]",,,2-s2.0-85143277954,Imen Safra,Tunis
Chair on Risk and Resilience of Complex Systems,Not in HAL,,,,,2-s2.0-85120159246,Anne Barros,
University of Edinburgh Business School,Not in HAL,,,,,2-s2.0-85120159246,Aakil Caunhye,Edinburgh
"Department of Energy, Politecnico di Milano",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85120159246,Enrico Zio,
"Department of Industrial and Enterprise Systems Engineering, University of Illinois at Urbana-Champaign",In HAL (Valid),"175019, 303576, 325015",Department of Industrial and Enterprise Systems Engineering [ISE] | University of Illinois System | University of Illinois at Urbana-Champaign [Urbana] [UIUC],,,2-s2.0-85170835721,Harrison Kim,Champaign
"Department of Mechanical Engineering, Technical University of Denmark",In HAL (Valid),302599,Danmarks Tekniske Universitet = Technical University of Denmark [DTU],,,2-s2.0-85170835721,Daniela Pigosso,Kongens Lyngby
"College of Science and Engineering, Hamad bin Khalifa University",In HAL (Valid),422043,Hamad Bin Khalifa University [HBKU],,,2-s2.0-85143628490,Majed Hadid,Doha
"Laboratoire Génie Industriel, Université Paris-Saclay, Centrale Supélec",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85143628490,Oualid Jouini,"Gif-sur-Yvette, Paris"
"Surgical Research Section, Department of Surgery, Hamad Medical Corporation",Not in HAL,,,,,2-s2.0-85143628490,Abdelfatteh El Omri,Doha
"Pharmacy Department, National Center for Cancer Care Research, Hamad Medical Corporation",Not in HAL,,,,,2-s2.0-85143628490,Amir Nounou,Doha
"Université Paris-Saclay, CentraleSupélec, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85140044387,Sadeque Hamdan,
"OASIS – ENIT, University of Tunis Elmanar",Not in HAL,,,,,2-s2.0-85140044387,Zied Jemai,Tunis
"Div. Communication and Transport Systems, ITN, Linköping University",In HAL (Valid),302346,Linköping University [LIU],,,2-s2.0-85140044387,Tobias Andersson Granberg,
"LFV, Norrköping",Not in HAL,,,,,2-s2.0-85140044387,Billy Josefsson,
"Complex Systems and Interactions, Ecole Centrale Casablanca",In HAL (Valid),446453,Ecole Centrale Casablanca,,,2-s2.0-85135401666,Ali Attajer,Casablanca
"IMII, Faculty of Science and Techniques, Hassan First University",Not in HAL,,,,,2-s2.0-85135401666,Ali Attajer,Settat
"LAMIH, CNRS, UMR 8201, Univ. Polytechnique Hauts-de-France",In HAL (Valid),"441569, 1051411, 1001263, 1067790","INSA Institut National des Sciences Appliquées Hauts-de-France [INSA Hauts-De-France] | Laboratoire d'Automatique, de Mécanique et d'Informatique industrielles et Humaines - UMR 8201 [LAMIH] | Université Polytechnique Hauts-de-France [UPHF] | Centre National de la Recherche Scientifique [CNRS]",,,2-s2.0-85135401666,Ali Attajer,Valenciennes
"Paris-Saclay University, CentraleSupélec, Industrial Engineering Department (LGI)",In HAL (Valid),"494069, 489452, 411575",Katholieke Hogeschool Sint-Lieven [KaHo Sint-Lieven] | CentraleSupélec | Industrial Engineering Department [Sint-Lieven],,,2-s2.0-85135401666,Fouad Riane,Gif-sur-Yvette
INSA Hauts-de-France,In HAL (Valid),"1051411, 301232",INSA Institut National des Sciences Appliquées Hauts-de-France [INSA Hauts-De-France] | Institut National des Sciences Appliquées [INSA],,,2-s2.0-85135401666,Sondes Chaabane,Valenciennes
"Université Paris-Saclay, CentraleSupélec, Laboratoire de Génie Industriel",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85139058878,Rémi Lauvergne,Gif-sur-Yvette
Réseau de Transport d'Electricité,In HAL (Valid),301436,Réseau de Transport d'Electricité [Paris] [RTE],,,2-s2.0-85139058878,Rémi Lauvergne,La Défense
"Faculty of Engineering and Sustainable Development, Department of Building Engineering, Energy Systems and Sustainability Science, University of Gävle",In HAL (Valid),301194,University of Gävle,,,2-s2.0-85136273215,Johan Brändström,Gävle
IRT SystemX,In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85136511727,Flore Vallet,Gif-sur-Yvette
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel, Gif-sur-Yvette",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85134545331,Sonia Priou,
"Sorbonne Université, Inserm, Université Sorbonne Paris Nord, Laboratoire D'Informatique Médicale et D'Ingénierie des Connaissances pour La e-Santé, LIMICS",In HAL (Valid),"303623, 1001042, 581146, 413221",Sorbonne Université [SU] | Université Sorbonne Paris Nord | Institut National de la Santé et de la Recherche Médicale [INSERM] | Laboratoire d'Informatique Médicale et Ingénierie des Connaissances en e-Santé [LIMICS],,,2-s2.0-85134545331,Christel Daniel,Paris
"Université de Paris Cité, Assistance Publique – Hôpitaux de Paris, Department of Thoracic Oncology & Centre D'Investigation Clinique INSERM 1425, Bichat University Hospital",In HAL (Valid),"1004753, 557826",Université Paris Cité [UPCité] | École de sages-femmes Baudelocque - Université Paris Cité [ESF Baudelocque UPCité],,,2-s2.0-85134545331,Gérard Zalcman,Paris
"Université de Paris Cité, Assistance Publique – Hôpitaux de Paris, Department of Pneumology, Cochin Teaching Hospital",In HAL (Valid),"1004753, 557826, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris Cité [UPCité] | École de sages-femmes Baudelocque - Université Paris Cité [ESF Baudelocque UPCité],,,2-s2.0-85134545331,Marie Wislez,Paris
"Université de Paris Cité, Department of Medical Informatics, Assistance Publique Hôpitaux de Paris. Centre-Université de Paris (APHP-CUP)",In HAL (Valid),"1004753, 557826",Université Paris Cité [UPCité] | École de sages-femmes Baudelocque - Université Paris Cité [ESF Baudelocque UPCité],,,2-s2.0-85134545331,Gilles Chatellier,Paris
"Sorbonne Université, Assistance Publique – Hôpitaux de Paris, Service de Pneumologie et Oncologie Thoracique, Hôpital Tenon and GRC04 Theranoscan Sorbonne Université",In HAL (Valid),"300068, 413221",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Sorbonne Université [SU],,,2-s2.0-85134545331,Jacques Cadranel,Paris
"Université Paris Est Créteil, Assistance Publique – Hôpitaux de Paris, Department of Medical Oncology, Henri Mondor and Albert Chenevier Teaching Hospital",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85134545331,Emmanuelle Kempf,Créteil
"Université de Seine Saint Denis, Assistance Publique – Hôpitaux de Paris, Department of Thoracic Oncology, Avicenne University Hospital",Not in HAL,,,,,2-s2.0-85134545331,Laurent Zelek,Paris
"Université Paris Est Créteil, INSERM, IMRB, Assistance Publique – Hôpitaux de Paris, Department of Medical Oncology, Henri Mondor and Albert Chenevier Teaching Hospital",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85134545331,Christophe Tournigand,Créteil
"AIT Austrian Institute of Technology GmbH, Center for Energy",Not in HAL,,,,,2-s2.0-85119910871,Ulrike Ritzinger,Vienna
Institut de Recherche Technologique SystemX,Not in HAL,,,,,2-s2.0-85119910871,Jakob Puchinger,Palaiseau
"University of Vienna, Department of Business Decisions and Analytics",In HAL (Valid),107975,University of Vienna [Vienna],,,2-s2.0-85119910871,Richard F. Hartl,Vienna
"Beihang University, School of Electronics and Information Engineering",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85136088717,Kaiquan Cai,Beijing
National Key Laboratory of CNS/ATM,Not in HAL,,,,,2-s2.0-85136088717,Kaiquan Cai,Beijing
Aviation Data Communication Corporation,Not in HAL,,,,,2-s2.0-85136088717,Yanbo Zhu,Beijing
"School of Management, Xi'an Jiaotong University",In HAL (Valid),301676,Xi'an Jiaotong University [Xjtu],,,2-s2.0-85132841130,Yanze Chu,Xi'anShaanXi
"Univ. Paris-Saclay, CentraleSuplec, LGI",Not in HAL,,,,,2-s2.0-85142256931,M. Roux,
"School of business administration, Zhongnan University of Economics and Law",In HAL (Valid),"458348, 567611",Zhongnan University of Economics and Law [China] | School of Business Administration [Wuhan],,,2-s2.0-85118555423,Shouyu Ma,Wuhan
"LGI, Centrale Supelec, Paris Saclay University",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85118555423,Zied Jemai,Gif-sur-Yvette
"School of Management, Qufu Normal University",Not in HAL,,,,,2-s2.0-85118555423,Qingguo Bai,Rizhao
"School of modern post (School of automation), Beijing University of Posts and Telecommunications",In HAL (Valid),145325,Beijing University of Posts and Telecommunications [BUPT],,,2-s2.0-85125731304,Hongping Wang,Beijing
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel, Chair on Risk and Resilience of Complex Systems",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85125731304,Hongping Wang,Gif-sur-Yvette
"Department of Industrial and Systems Engineering, University of Minnesota",In HAL (Valid),566446,University of Minnesota System,,,2-s2.0-85122648050,Saif Benjaafar,Minneapolis
"Industrial Engineering Department, Shanghai Jiaotong University",Not in HAL,,,,,2-s2.0-85122648050,Siqiao Li,Shanghai
"Mathematics Department, Vrije Universiteit Amsterdam",In HAL (Valid),62433,Vrije Universiteit Amsterdam [Amsterdam] [VU],,,2-s2.0-85122648050,Siqiao Li,Amsterdam
"Laboratoire Métis, EM Normandie",In HAL (Valid),301735,École de Management de Normandie [EM Normandie],,,2-s2.0-85122648050,Benjamin Legros,Paris
"Institute of Production and Logistics Management, Johannes Kepler University Linz",In HAL (Valid),1099890,University of Linz - Johannes Kepler Universität Linz [JKU],,,2-s2.0-85114895669,Miriam Enzi,Linz
"Center for Energy, AIT Austrian Institute of Technology",In HAL (Valid),196396,Austrian Institute of Technology [Vienna] [AIT],,,2-s2.0-85114895669,Miriam Enzi,Vienna
EVEA,In HAL (Valid),483040,EVEA Conseil,,,2-s2.0-85146838097,Stéphane Le Pochat,Nantes
SCORELCA,Not in HAL,,,,,2-s2.0-85146838097,Jade Garcia,Villeurbanne
"Institute for Techno-Economics of Energy Systems (I-tésé), French Alternative Energies and Atomic Energy Commission (CEA), Université Paris Saclay",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85127061028,Arthur Lynch,Gif-sur-Yvette
"Laboratoire de Génie Industriel CentraleSupélec, Université Paris-Saclay",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85127061028,Arthur Lynch,
"Department of Medical Oncology, Henri Mondor and Albert Chenevier Teaching Hospital, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Emmanuelle Kempf,Créteil
"Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances pour la e-Santé, LIMICS, Sorbonne Université, Inserm, Université Sorbonne Paris Nord",In HAL (Valid),"303623, 1001042, 581146, 413221",Université Sorbonne Paris Nord | Sorbonne Université [SU] | Institut National de la Santé et de la Recherche Médicale [INSERM] | Laboratoire d'Informatique Médicale et Ingénierie des Connaissances en e-Santé [LIMICS],,,2-s2.0-85122927201,Emmanuelle Kempf,Paris
"IT Department, Assistance Publique—Hôpitaux de Paris, Innovation and Data",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Christel Daniel,Paris
"Laboratoire Génie Industriel, Université Paris-Saclay, CentraleSupélec",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85122927201,Guillaume Lamé,Gif-sur-Yvette
"Department of Digestive Surgery, Henri Mondor and Albert Chenevier Teaching Hospital, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Daniele Sommacale,Créteil
"Department of Radiation Oncology, Henri Mondor and Albert Chenevier Teaching Hospital, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Yazid Belkacemi,Créteil
"Department of Chronic Diseases and Cancer, Assistance Publique—Hôpitaux de Paris, Head Office",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Gilles Galula,Paris
"Department of Medical Information, Assistance Publique—Hôpitaux de Paris, Head Office",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,Namik Taright,Paris
"Department of Medical Informatics, Centre-Université de Paris (APHP-CUP), Université de Paris, Assistance Publique Hôpitaux de Paris",In HAL (Valid),"420786, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85122927201,Bastien Rance,Paris
"Department of Medical Information, Henri Mondor and Albert Chenevier Teaching Hospital, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85122927201,François Hemery,Créteil
"Clinical Research Unit, Henri Mondor and Albert Chenevier Teaching Hospital, Université Paris Est Créteil, INSERM, IMRB, CEpiA Team, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85122927201,Etienne Audureau,Créteil
"Department of Medical Oncology, Henri Mondor and Albert Chenevier Teaching Hospital, Université Paris Est Créteil, INSERM, IMRB, Assistance Publique—Hôpitaux de Paris",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85122927201,Christophe Tournigand,Créteil
CentraleSupélec,In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85131384504,F. Vallet,
Irt SystemX,In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85131384504,F. Vallet,
CentraleSupélec,In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85131379582,G. Lamé,
University of Cambridge,In HAL (Valid),237843,University of Cambridge [UK] [CAM],,,2-s2.0-85131379582,A. Komashie,
"This Institute, University of Cambridge",In HAL (Valid),237843,University of Cambridge [UK] [CAM],,,2-s2.0-85131379582,A. Komashie,
AP-HP. Université Paris-Saclay,In HAL (Valid),1066727,AP-HP. Université Paris Saclay,,,2-s2.0-85131379582,T.-A. Duong,
Université Paris Est Créteil,In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85131379582,T.-A. Duong,
"Complex Systems and Interations, Ecole Centrale of Casablanca",Not in HAL,,,,,2-s2.0-85130511514,Fatima Ezzahra Achamrah,Bouskoura
"Laboratoire Ingénierie, Management Industriel et Innovation (LIMII), Hassan First University",In HAL (Valid),"569427, 446537","Laboratoire Mécanique, Management Industriel et Innovation [Settat] [LMMI] | Faculté des Sciences et Techniques [Settat] [FSTS]",,,2-s2.0-85130511514,Fouad Riane,Settat
"HEC Management School, University of Liege",In HAL (Valid),"536588, 93075","Université de Liège | Faculté de Psychologie, Logopédie et Sciences de l'Education [University of Liège] [FPLSE]",,,2-s2.0-85130511514,Sabine Limbourg,Liege
"Department of Industrial Engineering, Northwestern Polytechnical University",In HAL (Valid),126196,Northwestern Polytechnical University [Xi'an] [NPU],,,2-s2.0-85109431047,Shaohua Yu,Xi'an
"Laboratoire Genie Industriel, CentraleSupelec, Universite Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85109431047,Shaohua Yu,Gif-sur-Yvette
"Key Laboratory of Industrial Engineering and Intelligent Manufacturing, Ministry of Industry and Information Technology",Not in HAL,,,,,2-s2.0-85109431047,Shudong Sun,Xi'an
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85130113560,Sadeque Hamdan,
"Department of Analytics, Operations and Systems, Kent Business School, University of Kent",In HAL (Valid),519435,"Kent Business School, University of Kent",,,2-s2.0-85130113560,Sadeque Hamdan,Canterbury
"Division of Communication and Transport Systems, Department of Science and Technology, Linköping University",In HAL (Valid),302346,Linköping University [LIU],,,2-s2.0-85130113560,Tobias Andersson Granberg,Norrköping
"Optimisation et Analyse des Systèmes Industriels et de Service (OASIS), Ecole Nationale d’ingénieurs de Tunis (ENIT), University of Tunis Elmanar",In HAL (Valid),"207896, 300862",Université de Tunis El Manar [UTM] | Ecole Nationale d'Ingénieurs de Tunis [ENIT],,,2-s2.0-85130113560,Zied Jemai,Tunis
"Electrical and Computer Engineering Department, University of Sharjah",In HAL (Valid),350478,American University of Sharjah,,,2-s2.0-85130113560,Maamar Bettayeb,Sharjah
"Center of Excellence in Intelligent Engineering Systems (CEIES), King Abdulaziz University",In HAL (Valid),422761,King Abdulaziz University,,,2-s2.0-85130113560,Maamar Bettayeb,Jeddah
Swedish Civil Aviation Administration (Luftfartsverket: LFV),Not in HAL,,,,,2-s2.0-85130113560,Billy Josefsson,Norrköping
"COSYS-GRETTIA, Univ Gustave Eiffel",In HAL (Valid),"580990, 580722",Université Gustave Eiffel | Génie des Réseaux de Transport Terrestres et Informatique Avancée [COSYS-GRETTIA ],,,2-s2.0-85125813569,Pascal Un,Marne-la-Vallée
"LaPEA, Univ Gustave Eiffel",In HAL (Valid),"580722, 1040162, 557826",Université Paris Cité [UPCité] | Laboratoire de Psychologie et d’Ergonomie Appliquées [LaPEA - UMR_T 7708] | Université Gustave Eiffel,,,2-s2.0-85125813569,Pascal Un,Versailles
"Laboratoire Génie Industriel, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85125813569,Flore Vallet,Gif-sur-Yvette
"Mines ParisTech, PSL Research University,CRC",In HAL (Valid),"564132, 301492",Université Paris sciences et lettres [PSL] | Mines Paris - PSL (École nationale supérieure des mines de Paris),,,2-s2.0-85108265876,Enrico Zio,Sophia-Antipolis
"Department of Nuclear Engineering, Kyung Hee University",In HAL (Valid),305304,Kyung Hee University [KHU],,,2-s2.0-85108265876,Enrico Zio,Seoul
"Complex Systems and Interactions, Ecole Centrale Casablanca",In HAL (Valid),446453,Ecole Centrale Casablanca,,,2-s2.0-85119298426,Fatima Ezzahra Achamrah,
"LGI, CentraleSupélec, Paris Saclay University",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85119298426,Fatima Ezzahra Achamrah,
"LMMII Laboratory, FST Settat, Hassan Premier University",Not in HAL,,,,,2-s2.0-85119298426,Fouad Riane,
"IESEG School of Management, Univ. Lille, CNRS, UMR 9221 - LEM - Lille Economie Management",In HAL (Valid),"413157, 441569, 469630, 374570, 56711, 300877",Université d'Artois [UA] | Université de Lille | Université catholique de Lille [UCL] | Centre National de la Recherche Scientifique [CNRS] | Lille économie management - UMR 9221 [LEM] | IÉSEG School Of Management [Puteaux],,,2-s2.0-85119298426,Christine Di Martinelly,Lille
"I-TESE, Commissariat à l’Energie Atomique et aux Energies Alternatives - Centre de Saclay",In HAL (Valid),"419361, 40104, 92792",Institut Technico-Economie [TECH ECO (ex-ITESE)] | CEA-Direction des Energies (ex-Direction de l'Energie Nucléaire) [CEA-DES (ex-DEN)] | Université Paris-Saclay,,,2-s2.0-85091090346,Olfa Tlili,Gif-sur-Yvette
"LGI, CentraleSupelec",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85091090346,Olfa Tlili,Gif-sur-Yvette
IEK3 Jülich Forschungszentrum,Not in HAL,,,,,2-s2.0-85091090346,Martin Robinius,Jülich
Air Liquide R&D Saclay,Not in HAL,,,,,2-s2.0-85091090346,Jean André,Paris
"Laboratoire Genie Industriel, CentraleSupélec, université Paris-Saclay 3 Rue Joliot Curie, 91190 Gif-sur-Yvette",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85121009628,Adam F. Abdin,
"Mines ParisTech, PSL Research University, CRC, Sophia Antipolis",In HAL (Valid),"54155, 301492",Centre de recherche sur les Risques et les Crises [CRC] | Mines Paris - PSL (École nationale supérieure des mines de Paris),,,2-s2.0-85121009628,Enrico Zio,
"Dyson School of Design Engineering, Imperial College London",In HAL (Valid),69530,Imperial College London,,,2-s2.0-85121009628,Michel-Alexandre Cardin,
General Electric Healthcare,In HAL (Valid),7191,General Electric Medical Systems [Buc] [GE Healthcare],,,2-s2.0-85172783822,Emna Turki,Buc
"Laboratoire OASIS, Ećole Nationale d’Ingeǹieurs de Tunis, Université Tunis El Manar",In HAL (Valid),"207896, 300862",Université de Tunis El Manar [UTM] | Ecole Nationale d'Ingénieurs de Tunis [ENIT],,,2-s2.0-85172783822,Ziad Jemai,Tunis
"PIL Dept., Istanbul University, Faculty of Law",In HAL (Valid),495165,Istanbul University,,,2-s2.0-85167595711,Nebile Pelin Mantı,Istanbul
Tallinn University of Technology,In HAL (Valid),310135,Tallinn University of Technology [TTÜ],,,2-s2.0-85167595711,Antonio Carlo,Tallinn
"Centrale Supélec, Laboratoire Genie Industriel, Université Paris Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85153669105,Marija Jankovic,Gif-sur-Yvette
"Centre for Security, Reliability and Trust (SnT), Université du Luxembourg",In HAL (Valid),"175629, 191990, 104741","Security, Reliability and Trust Interdisciplibary Research Centre [S'nT] | Université du Luxembourg [Uni.lu] | Interdisciplinary Centre for Security, Reliability and Trust [Luxembourg] [SnT]",,,2-s2.0-85153669105,Andreas M. Hein,Luxembourg
"Université Paris Saclay, CentraleSupélec, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85147888333,Ghada Bouillass,Gif-sur-Yvette
Safran Helicopter Engines,Not in HAL,,,,,2-s2.0-85146363442,Q. Lorente,Tarnos
"University of Bordeaux, Estia Institute of Technology",In HAL (Valid),39415,ESTIA INSTITUTE OF TECHNOLOGY,,,2-s2.0-85146363442,Q. Lorente,Bidart
"LGI, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85144541143,R. Fokouop,Gif-sur-Yvette
"Computational and data science Lab, Air Liquide RandD",Not in HAL,,,,,2-s2.0-85144541143,R. Fokouop,
"Universite Paris-Saclay, CentraleSupelec, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85144519099,Oualid Jouini,Gif-sur-Yvette
"National Center for Cancer Care and Research (NCCCR), Hamad Medical Corporation",Not in HAL,,,,,2-s2.0-85144519099,Ahmed Saleh,Doha
"CentraleSupélec and Rte, Laboratoire de Génie Industriel",Not in HAL,,,,,2-s2.0-85141184788,Marie Girod,Paris
"Université de Liège, Montefiore Institute",In HAL (Valid),"93075, 301769",Université de Liège | Institute Montefiore,,,2-s2.0-85141184788,Efthymios Karangelos,Liège
Rte,In HAL (Valid),301436,Réseau de Transport d'Electricité [Paris] [RTE],,,2-s2.0-85141184788,Viktor Terrier,Paris
"CentraleSupélec, Lgi",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85141184788,Oualid Jouini,Paris
Réseau de Transport d'Électricité,In HAL (Valid),301436,Réseau de Transport d'Electricité [Paris] [RTE],,,2-s2.0-85141170811,Adrienne De Bazelaire,
"CentraleSupélec, Laboratoire de Génie Industriel",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85141170811,Adrienne De Bazelaire,
Center for Energy Economics and Management,Not in HAL,,,,,2-s2.0-85141170811,Olivier Massol,
"Paris-Saclay University, Centrale Supélec Laboratoire Génie Industriel",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85140470086,Hajar Hilali,Gif-Sur-Yvette
"CentraleSupélec, Paris Saclay University",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85140417360,Guy André Boy,Gif-sur-Yvette
"APHP (Assistance Publique des Hôpitaux de Paris), Department of Telemedicine, Groupement Hospitalier Université Paris-Saclay",Not in HAL,,,,,2-s2.0-85138206974,Tu-Anh Duong,Bicêtre
"Equipe 8 IMRB U955, INSERM, Université Paris Est Créteil",In HAL (Valid),"303623, 420786",Institut National de la Santé et de la Recherche Médicale [INSERM] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85138206974,Tu-Anh Duong,Créteil
"Chaire Prévention et Performance, Laboratoire Génie Industriel, Ecole CentraleSupélec",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85137034849,Guilherme Alcantara Pinto,Gif-sur-Yvette
"Université Paris-Saclay, Laboratoire Génie Industriel, Ecole CentraleSupélec",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85137034849,Isabelle Nicolai,Gif-sur-Yvette
"Chaire Prévention et Performance, Ecole CentraleSupélec, Departement Sciences Humaines et Sociales",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85137034849,Christian Michelot,Gif-sur-Yvette
"CEREMA: Center for Risks, Environment, Mobility and Planning, Direction Territoriale Méditerrané_rfeti",Not in HAL,,,,,2-s2.0-85135414273,Daniel Hernandez,
"School of Intelligent Manufacturing, Nanjing University of Science and Technology",In HAL (Valid),315136,Nanjing University of Science and Technology [NJUST],,,2-s2.0-85134810406,Shaohua Yu,Nanjing
"Stellantis, Centre Technique Vélizy",In HAL (Valid),"1073142, 1086610",Stellantis - PSA Centre Technique de Vélizy | Stellantis France,,,2-s2.0-85133530889,Julien Garcia,Vélizy-Villacoublay
